REFERENCE	 DEGRADED	 PESQMOS	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
D:\MOS_PESQ\swav\1.wav	 D:\MOS_PESQ\ywav\1.wav	 SQValue=4.155	 4.155	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\2.wav	 D:\MOS_PESQ\ywav\2.wav	 SQValue=4.163	 4.163	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\3.wav	 D:\MOS_PESQ\ywav\3.wav	 SQValue=3.907	 3.907	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\4.wav	 D:\MOS_PESQ\ywav\4.wav	 SQValue=3.078	 3.078	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\5.wav	 D:\MOS_PESQ\ywav\5.wav	 SQValue=3.510	 3.510	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\6.wav	 D:\MOS_PESQ\ywav\6.wav	 SQValue=3.268	 3.268	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\7.wav	 D:\MOS_PESQ\ywav\7.wav	 SQValue=3.471	 3.471	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\8.wav	 D:\MOS_PESQ\ywav\8.wav	 SQValue=2.426	 2.426	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\9.wav	 D:\MOS_PESQ\ywav\9.wav	 SQValue=3.898	 3.898	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\10.wav	 D:\MOS_PESQ\ywav\10.wav	 SQValue=3.679	 3.679	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\11.wav	 D:\MOS_PESQ\ywav\11.wav	 SQValue=3.217	 3.217	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\12.wav	 D:\MOS_PESQ\ywav\12.wav	 SQValue=3.112	 3.112	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\13.wav	 D:\MOS_PESQ\ywav\13.wav	 SQValue=4.184	 4.184	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\14.wav	 D:\MOS_PESQ\ywav\14.wav	 SQValue=4.218	 4.218	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\15.wav	 D:\MOS_PESQ\ywav\15.wav	 SQValue=3.955	 3.955	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\16.wav	 D:\MOS_PESQ\ywav\16.wav	 SQValue=3.560	 3.560	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\17.wav	 D:\MOS_PESQ\ywav\17.wav	 SQValue=3.944	 3.944	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\18.wav	 D:\MOS_PESQ\ywav\18.wav	 SQValue=3.812	 3.812	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\19.wav	 D:\MOS_PESQ\ywav\19.wav	 SQValue=3.436	 3.436	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\20.wav	 D:\MOS_PESQ\ywav\20.wav	 SQValue=3.099	 3.099	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\21.wav	 D:\MOS_PESQ\ywav\21.wav	 SQValue=4.294	 4.294	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\22.wav	 D:\MOS_PESQ\ywav\22.wav	 SQValue=4.114	 4.114	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\23.wav	 D:\MOS_PESQ\ywav\23.wav	 SQValue=4.138	 4.138	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\24.wav	 D:\MOS_PESQ\ywav\24.wav	 SQValue=3.268	 3.268	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\1.wav	 D:\MOS_PESQ\ywav\1.wav	 SQValue=4.155	 4.155	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\2.wav	 D:\MOS_PESQ\ywav\2.wav	 SQValue=4.163	 4.163	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\3.wav	 D:\MOS_PESQ\ywav\3.wav	 SQValue=3.907	 3.907	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\4.wav	 D:\MOS_PESQ\ywav\4.wav	 SQValue=3.078	 3.078	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\5.wav	 D:\MOS_PESQ\ywav\5.wav	 SQValue=3.510	 3.510	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\6.wav	 D:\MOS_PESQ\ywav\6.wav	 SQValue=3.268	 3.268	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\7.wav	 D:\MOS_PESQ\ywav\7.wav	 SQValue=3.471	 3.471	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\8.wav	 D:\MOS_PESQ\ywav\8.wav	 SQValue=2.426	 2.426	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\9.wav	 D:\MOS_PESQ\ywav\9.wav	 SQValue=3.898	 3.898	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\10.wav	 D:\MOS_PESQ\ywav\10.wav	 SQValue=3.679	 3.679	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\11.wav	 D:\MOS_PESQ\ywav\11.wav	 SQValue=3.217	 3.217	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\12.wav	 D:\MOS_PESQ\ywav\12.wav	 SQValue=3.112	 3.112	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\13.wav	 D:\MOS_PESQ\ywav\13.wav	 SQValue=4.184	 4.184	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\14.wav	 D:\MOS_PESQ\ywav\14.wav	 SQValue=4.218	 4.218	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\15.wav	 D:\MOS_PESQ\ywav\15.wav	 SQValue=3.955	 3.955	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\16.wav	 D:\MOS_PESQ\ywav\16.wav	 SQValue=3.560	 3.560	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\17.wav	 D:\MOS_PESQ\ywav\17.wav	 SQValue=3.944	 3.944	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\18.wav	 D:\MOS_PESQ\ywav\18.wav	 SQValue=3.812	 3.812	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\19.wav	 D:\MOS_PESQ\ywav\19.wav	 SQValue=3.436	 3.436	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\20.wav	 D:\MOS_PESQ\ywav\20.wav	 SQValue=3.099	 3.099	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\21.wav	 D:\MOS_PESQ\ywav\21.wav	 SQValue=4.294	 4.294	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\22.wav	 D:\MOS_PESQ\ywav\22.wav	 SQValue=4.114	 4.114	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\23.wav	 D:\MOS_PESQ\ywav\23.wav	 SQValue=4.138	 4.138	 0.000	 0	 16000	0.0000
 D:\MOS_PESQ\swav\24.wav	 D:\MOS_PESQ\ywav\24.wav	 SQValue=3.268	 3.268	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\1.wav	 D:\Dual_Region\MOS_PESQ\ywav\1.wav	 SQValue=4.155	 4.155	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\2.wav	 D:\Dual_Region\MOS_PESQ\ywav\2.wav	 SQValue=4.163	 4.163	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\3.wav	 D:\Dual_Region\MOS_PESQ\ywav\3.wav	 SQValue=3.907	 3.907	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\4.wav	 D:\Dual_Region\MOS_PESQ\ywav\4.wav	 SQValue=3.078	 3.078	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\5.wav	 D:\Dual_Region\MOS_PESQ\ywav\5.wav	 SQValue=3.510	 3.510	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\6.wav	 D:\Dual_Region\MOS_PESQ\ywav\6.wav	 SQValue=3.268	 3.268	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\7.wav	 D:\Dual_Region\MOS_PESQ\ywav\7.wav	 SQValue=3.471	 3.471	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\8.wav	 D:\Dual_Region\MOS_PESQ\ywav\8.wav	 SQValue=2.426	 2.426	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\9.wav	 D:\Dual_Region\MOS_PESQ\ywav\9.wav	 SQValue=3.898	 3.898	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\10.wav	 D:\Dual_Region\MOS_PESQ\ywav\10.wav	 SQValue=3.679	 3.679	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\11.wav	 D:\Dual_Region\MOS_PESQ\ywav\11.wav	 SQValue=3.217	 3.217	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\12.wav	 D:\Dual_Region\MOS_PESQ\ywav\12.wav	 SQValue=3.112	 3.112	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\13.wav	 D:\Dual_Region\MOS_PESQ\ywav\13.wav	 SQValue=4.184	 4.184	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\14.wav	 D:\Dual_Region\MOS_PESQ\ywav\14.wav	 SQValue=4.218	 4.218	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\15.wav	 D:\Dual_Region\MOS_PESQ\ywav\15.wav	 SQValue=3.955	 3.955	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\16.wav	 D:\Dual_Region\MOS_PESQ\ywav\16.wav	 SQValue=3.560	 3.560	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\17.wav	 D:\Dual_Region\MOS_PESQ\ywav\17.wav	 SQValue=3.944	 3.944	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\18.wav	 D:\Dual_Region\MOS_PESQ\ywav\18.wav	 SQValue=3.812	 3.812	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\19.wav	 D:\Dual_Region\MOS_PESQ\ywav\19.wav	 SQValue=3.436	 3.436	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\20.wav	 D:\Dual_Region\MOS_PESQ\ywav\20.wav	 SQValue=3.099	 3.099	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\21.wav	 D:\Dual_Region\MOS_PESQ\ywav\21.wav	 SQValue=4.294	 4.294	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\22.wav	 D:\Dual_Region\MOS_PESQ\ywav\22.wav	 SQValue=4.114	 4.114	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\23.wav	 D:\Dual_Region\MOS_PESQ\ywav\23.wav	 SQValue=4.138	 4.138	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\24.wav	 D:\Dual_Region\MOS_PESQ\ywav\24.wav	 SQValue=3.268	 3.268	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\1.wav	 D:\Dual_Region\MOS_PESQ\ywav\1.wav	 SQValue=4.155	 4.155	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\2.wav	 D:\Dual_Region\MOS_PESQ\ywav\2.wav	 SQValue=4.163	 4.163	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\3.wav	 D:\Dual_Region\MOS_PESQ\ywav\3.wav	 SQValue=3.907	 3.907	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\4.wav	 D:\Dual_Region\MOS_PESQ\ywav\4.wav	 SQValue=3.078	 3.078	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\5.wav	 D:\Dual_Region\MOS_PESQ\ywav\5.wav	 SQValue=3.510	 3.510	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\1.wav	 D:\Dual_Region\MOS_PESQ\ywav\1.wav	 SQValue=4.155	 4.155	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\2.wav	 D:\Dual_Region\MOS_PESQ\ywav\2.wav	 SQValue=4.163	 4.163	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\3.wav	 D:\Dual_Region\MOS_PESQ\ywav\3.wav	 SQValue=3.907	 3.907	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\4.wav	 D:\Dual_Region\MOS_PESQ\ywav\4.wav	 SQValue=3.078	 3.078	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\5.wav	 D:\Dual_Region\MOS_PESQ\ywav\5.wav	 SQValue=3.510	 3.510	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\6.wav	 D:\Dual_Region\MOS_PESQ\ywav\6.wav	 SQValue=3.268	 3.268	 0.000	 0	 16000	0.0000
