REFERENCE	 DEGRADED	 PESQMOS	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
D:\Dual_Region\MOS_PESQ\swav\1.wav	 D:\Dual_Region\MOS_PESQ\ywav\1.wav	 SQValue=4.155	 4.155	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\2.wav	 D:\Dual_Region\MOS_PESQ\ywav\2.wav	 SQValue=4.163	 4.163	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\3.wav	 D:\Dual_Region\MOS_PESQ\ywav\3.wav	 SQValue=3.907	 3.907	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\4.wav	 D:\Dual_Region\MOS_PESQ\ywav\4.wav	 SQValue=3.078	 3.078	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\5.wav	 D:\Dual_Region\MOS_PESQ\ywav\5.wav	 SQValue=3.510	 3.510	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\6.wav	 D:\Dual_Region\MOS_PESQ\ywav\6.wav	 SQValue=3.268	 3.268	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\7.wav	 D:\Dual_Region\MOS_PESQ\ywav\7.wav	 SQValue=3.471	 3.471	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\8.wav	 D:\Dual_Region\MOS_PESQ\ywav\8.wav	 SQValue=2.426	 2.426	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\9.wav	 D:\Dual_Region\MOS_PESQ\ywav\9.wav	 SQValue=3.898	 3.898	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\10.wav	 D:\Dual_Region\MOS_PESQ\ywav\10.wav	 SQValue=3.679	 3.679	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\11.wav	 D:\Dual_Region\MOS_PESQ\ywav\11.wav	 SQValue=3.217	 3.217	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\12.wav	 D:\Dual_Region\MOS_PESQ\ywav\12.wav	 SQValue=3.112	 3.112	 0.000	 0	 16000	0.0000
 D:\Dual_Region\MOS_PESQ\swav\13.wav	 D:\Dual_Region\MOS_PESQ\ywav\13.wav	 SQValue=4.184	 4.184	 0.000	 0	 16000	0.0000
