DEGRADED	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
1.wav	 4.155	 0.000	 0	 16000	0.0000
 2.wav	 4.163	 0.000	 0	 16000	0.0000
 3.wav	 3.907	 0.000	 0	 16000	0.0000
 4.wav	 3.078	 0.000	 0	 16000	0.0000
 5.wav	 3.510	 0.000	 0	 16000	0.0000
 6.wav	 3.268	 0.000	 0	 16000	0.0000
 7.wav	 3.471	 0.000	 0	 16000	0.0000
 8.wav	 2.426	 0.000	 0	 16000	0.0000
 9.wav	 3.898	 0.000	 0	 16000	0.0000
 10.wav	 3.679	 0.000	 0	 16000	0.0000
 11.wav	 3.217	 0.000	 0	 16000	0.0000
 12.wav	 3.112	 0.000	 0	 16000	0.0000
 13.wav	 4.184	 0.000	 0	 16000	0.0000
 14.wav	 4.218	 0.000	 0	 16000	0.0000
 15.wav	 3.955	 0.000	 0	 16000	0.0000
 16.wav	 3.560	 0.000	 0	 16000	0.0000
 17.wav	 3.944	 0.000	 0	 16000	0.0000
 18.wav	 3.812	 0.000	 0	 16000	0.0000
 19.wav	 3.436	 0.000	 0	 16000	0.0000
 20.wav	 3.099	 0.000	 0	 16000	0.0000
 21.wav	 4.294	 0.000	 0	 16000	0.0000
 22.wav	 4.114	 0.000	 0	 16000	0.0000
 23.wav	 4.138	 0.000	 0	 16000	0.0000
 24.wav	 3.268	 0.000	 0	 16000	0.0000
 1.wav	 4.220	 0.000	 0	 16000	0.0000
 2.wav	 4.074	 0.000	 0	 16000	0.0000
 3.wav	 3.825	 0.000	 0	 16000	0.0000
 4.wav	 2.950	 0.000	 0	 16000	0.0000
 5.wav	 3.473	 0.000	 0	 16000	0.0000
 6.wav	 3.074	 0.000	 0	 16000	0.0000
 7.wav	 3.285	 0.000	 0	 16000	0.0000
 8.wav	 2.263	 0.000	 0	 16000	0.0000
 9.wav	 3.716	 0.000	 0	 16000	0.0000
 10.wav	 3.515	 0.000	 0	 16000	0.0000
 11.wav	 3.040	 0.000	 0	 16000	0.0000
 12.wav	 2.947	 0.000	 0	 16000	0.0000
 13.wav	 4.078	 0.000	 0	 16000	0.0000
 14.wav	 4.005	 0.000	 0	 16000	0.0000
 15.wav	 3.869	 0.000	 0	 16000	0.0000
 16.wav	 3.417	 0.000	 0	 16000	0.0000
 17.wav	 3.800	 0.000	 0	 16000	0.0000
 18.wav	 3.670	 0.000	 0	 16000	0.0000
 19.wav	 3.335	 0.000	 0	 16000	0.0000
 20.wav	 2.975	 0.000	 0	 16000	0.0000
 21.wav	 4.259	 0.000	 0	 16000	0.0000
 22.wav	 3.947	 0.000	 0	 16000	0.0000
 23.wav	 4.045	 0.000	 0	 16000	0.0000
 24.wav	 3.146	 0.000	 0	 16000	0.0000
 1.wav	 4.155	 0.000	 0	 16000	0.0000
 2.wav	 4.163	 0.000	 0	 16000	0.0000
 3.wav	 3.907	 0.000	 0	 16000	0.0000
 4.wav	 3.078	 0.000	 0	 16000	0.0000
 5.wav	 3.510	 0.000	 0	 16000	0.0000
